Method:GET; URL:/input-job-order; Status:304; Message: Not Modified; DateTime: 24/12/2024; ResponseTime: 1499 ms
Method:GET; URL:/vendors/jSignature/libs/modernizr.js; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/jSignature/libs/jquery.js; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/jSignature/src/plugins/jSignature.CompressorBase30.js; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/jSignature/src/jSignature.js; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/jSignature/src/plugins/jSignature.CompressorSVG.js; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/jSignature/src/plugins/jSignature.UndoButton.js; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/jSignature/src/plugins/signhere/jSignature.SignHere.js; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/images/Logo%20Header%20PT%20UT.png; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/favicon.ico; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:304; Message: Not Modified; DateTime: 24/12/2024; ResponseTime: 1257 ms
Method:GET; URL:/images/Logo%20Header%20PT%20UT.png; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:undefined; Message: undefined; DateTime: 24/12/2024; ResponseTime: NaN ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 1803 ms
